date,stocks
2026-05-01,849882
2026-04-24,857419
2026-04-17,870774
2026-04-10,872985
2026-04-03,878042
2026-03-27,876700
2026-03-20,871627
2026-03-13,864701
2026-03-06,858545
2026-02-27,854720
2026-02-20,851245
2026-02-13,835256
2026-02-06,844041
2026-01-30,835512
2026-01-23,838753
2026-01-16,840533
2026-01-09,836125
2026-01-02,832520
2025-12-26,836107
2025-12-19,837793
2025-12-12,836588
2025-12-05,837613
2025-11-28,839177
2025-11-21,838353
2025-11-14,835081
2025-11-07,837974
2025-10-31,830763
2025-10-24,825063
2025-10-17,831388
2025-10-10,831530
2025-10-03,827246
2025-09-26,823246
2025-09-19,820712
2025-09-12,821089
2025-09-05,829870
2025-08-29,825417
2025-08-22,822493
2025-08-15,824109
2025-08-08,829900
2025-08-01,826638
2025-07-25,829432
2025-07-18,821496
2025-07-11,824865
2025-07-04,829024
2025-06-27,821716
2025-06-20,817632
2025-06-13,823231
2025-06-06,834474
2025-05-30,837881
2025-05-23,841676
2025-05-16,843651
2025-05-09,841480
2025-05-02,837498
2025-04-25,838950
2025-04-18,840581
2025-04-11,839869
2025-04-04,839055
2025-03-28,836226
2025-03-21,829776
2025-03-14,832831
2025-03-07,830811
2025-02-28,829088
2025-02-21,825474
2025-02-14,827806
2025-02-07,823173
2025-01-31,818854
2025-01-24,809940
2025-01-17,806229
2025-01-10,806997
2025-01-03,808459
2024-12-27,809171
2024-12-20,810089
2024-12-13,814066
2024-12-06,814481
2024-11-29,815182
2024-11-22,818810
2024-11-15,819482
2024-11-08,817537
2024-11-01,814881
2024-10-25,811340
2024-10-18,810666
2024-10-11,804432
2024-10-04,805671
2024-09-27,799484
2024-09-20,794935
2024-09-13,798119
2024-09-06,799094
2024-08-30,797982
2024-08-23,803091
2024-08-16,803192
2024-08-09,807205
2024-08-02,805154
2024-07-26,808146
2024-07-19,810897
2024-07-12,813948
2024-07-05,818168
2024-06-28,821134
2024-06-21,832893
2024-06-14,828017
2024-06-07,830178
2024-05-31,826109
2024-05-24,823978
2024-05-17,827649
2024-05-10,824831
2024-05-03,826746
2024-04-26,827161
2024-04-19,819302
2024-04-12,824877
2024-04-05,821494
2024-03-29,815058
2024-03-22,811257
2024-03-15,807348
2024-03-08,808550
2024-03-01,809490
2024-02-23,807417
2024-02-16,802475
2024-02-09,798213
2024-02-02,785449
2024-01-26,779314
2024-01-19,777188
2024-01-12,785501
2024-01-05,787397
