date,price,stocks
2014-01-03,17625.0,1022706
2014-01-10,16920.0,1015048
2014-01-17,16630.0,1016038
2014-01-24,16570.0,1022459
2014-02-07,15390.0,1025952
2014-02-14,15620.0,1026925
2014-02-21,15560.0,1026993
2014-02-28,14980.0,1028422
2014-03-14,15740.0,1040152
2014-03-21,15030.0,1046771
2014-03-28,15680.0,1044392
2014-04-04,15450.0,1048070
2014-04-11,15010.0,1057460
2014-04-18,14200.0,1060446
2014-04-25,14005.0,1061189
2014-05-09,13770.0,1058471
2014-05-16,13820.0,1050696
2014-05-23,14440.0,1052353
2014-05-30,14125.0,1048922
2014-06-06,14200.0,1046192
2014-06-13,14390.0,1045614
2014-06-20,14965.0,1047356
2014-06-27,15140.0,1044201
2014-07-04,14645.0,1041794
2014-07-11,13905.0,1034269
2014-07-18,14065.0,1030300
2014-07-25,15715.0,1026603
2014-08-01,15485.0,1025139
2014-08-08,15530.0,1026540
2014-08-15,14855.0,1022066
2014-08-22,15105.0,1019996
2014-08-29,14490.0,1019091
2014-09-05,14100.0,1018400
2014-09-12,13520.0,1022073
2014-09-19,12835.0,1017800
2014-09-26,12415.0,1016435
2014-10-10,12295.0,1030271
2014-10-17,12705.0,1037382
2014-10-24,13375.0,1039442
2014-10-31,13310.0,1039902
2014-11-07,12615.0,1037116
2014-11-14,12935.0,1039724
2014-11-21,12670.0,1041670
2014-11-28,12730.0,1037980
2014-12-05,12615.0,1039276
2014-12-12,12235.0,1038429
2014-12-19,12435.0,1045696
2014-12-26,12520.0,1043942
2015-01-09,13250.0,1045154
2015-01-16,12650.0,1055224
2015-01-23,13190.0,1064097
2015-01-30,12875.0,1070430
2015-02-06,13745.0,1074756
2015-02-13,13930.0,1082471
2015-02-27,13440.0,1101201
2015-03-06,12700.0,1106378
2015-03-13,12735.0,1116000
2015-03-20,12560.0,1124169
2015-03-27,12815.0,1128935
2015-04-03,12775.0,1140614
2015-04-10,12350.0,1141906
2015-04-17,12725.0,1147221
2015-04-24,13460.0,1149129
2015-05-08,14650.0,1142835
2015-05-15,14320.0,1140474
2015-05-22,13895.0,1138259
2015-05-29,15010.0,1136810
2015-06-05,14350.0,1130792
2015-06-12,13885.0,1128715
2015-06-19,13725.0,1124131
2015-06-26,13380.0,1126915
2015-07-03,14425.0,1127937
2015-07-10,12165.0,1123990
2015-07-17,13220.0,1126971
2015-07-24,12720.0,1122767
