date,price
2014-01-02,18135.0
2014-01-03,17625.0
2014-01-06,17245.0
2014-01-07,16815.0
2014-01-08,16735.0
2014-01-09,16855.0
2014-01-10,16920.0
2014-01-13,16340.0
2014-01-14,16750.0
2014-01-15,16675.0
2014-01-17,16630.0
2014-01-20,16830.0
2014-01-21,16425.0
2014-01-22,16590.0
2014-01-23,16555.0
2014-01-24,16570.0
2014-01-27,15950.0
2014-01-28,15610.0
2014-01-29,15635.0
2014-01-30,15480.0
2014-02-07,15390.0
2014-02-10,15880.0
2014-02-11,15805.0
2014-02-12,15755.0
2014-02-13,15590.0
2014-02-14,15620.0
2014-02-17,16360.0
2014-02-18,16140.0
2014-02-19,16190.0
2014-02-20,15570.0
2014-02-21,15560.0
2014-02-24,14805.0
2014-02-25,14590.0
2014-02-26,14690.0
2014-02-27,14770.0
2014-02-28,14980.0
2014-03-03,14835.0
2014-03-04,14695.0
2014-03-05,15195.0
2014-03-06,15175.0
2014-03-10,14465.0
2014-03-11,15215.0
2014-03-12,15765.0
2014-03-14,15740.0
2014-03-17,14985.0
2014-03-18,14915.0
2014-03-19,15260.0
2014-03-20,15175.0
2014-03-21,15030.0
2014-03-24,15220.0
2014-03-25,15510.0
2014-03-26,15520.0
2014-03-27,15375.0
2014-03-28,15680.0
2014-03-31,15745.0
2014-04-01,15785.0
2014-04-02,15530.0
2014-04-03,15425.0
2014-04-04,15450.0
2014-04-08,15745.0
2014-04-09,15325.0
2014-04-10,15115.0
2014-04-11,15010.0
2014-04-14,14945.0
2014-04-15,15040.0
2014-04-16,15025.0
2014-04-17,14800.0
2014-04-18,14200.0
2014-04-21,13925.0
2014-04-22,14005.0
2014-04-23,14015.0
2014-04-24,14075.0
2014-04-25,14005.0
2014-04-28,14400.0
2014-04-29,14550.0
2014-04-30,14340.0
2014-05-05,14365.0
2014-05-06,14085.0
2014-05-07,14090.0
2014-05-08,13915.0
2014-05-09,13770.0
2014-05-12,14070.0
2014-05-13,14140.0
2014-05-14,14305.0
2014-05-15,14100.0
2014-05-16,13820.0
2014-05-19,14550.0
2014-05-20,14490.0
2014-05-21,14285.0
2014-05-22,14375.0
2014-05-23,14440.0
2014-05-26,14735.0
2014-05-27,14530.0
2014-05-28,14480.0
2014-05-29,14300.0
2014-05-30,14125.0
2014-06-03,14105.0
2014-06-04,14105.0
2014-06-05,14210.0
